Id Cliente Calif;Id Usuario
1153;anegrete
1154;anegrete
1155;anegrete
1156;anegrete
1160;anegrete
1161;anegrete
1162;anegrete
1163;anegrete
1165;anegrete
4;aramirez
5;aramirez
6;aramirez
7;aramirez
8;aramirez
13;aramirez
14;aramirez
15;aramirez
16;aramirez
18;aramirez
20;aramirez
21;aramirez
22;aramirez
23;aramirez
24;aramirez
25;aramirez
26;aramirez
27;aramirez
28;aramirez
30;aramirez
31;aramirez
32;aramirez
35;aramirez
45;aramirez
47;aramirez
53;aramirez
55;aramirez
56;aramirez
57;aramirez
61;aramirez
62;aramirez
63;aramirez
64;aramirez
65;aramirez
71;aramirez
72;aramirez
73;aramirez
74;aramirez
75;aramirez
85;aramirez
89;aramirez
96;aramirez
98;aramirez
99;aramirez
100;aramirez
101;aramirez
103;aramirez
104;aramirez
112;aramirez
115;aramirez
119;aramirez
121;aramirez
124;aramirez
126;aramirez
130;aramirez
136;aramirez
137;aramirez
138;aramirez
142;aramirez
152;aramirez
153;aramirez
155;aramirez
168;aramirez
171;aramirez
174;aramirez
176;aramirez
177;aramirez
179;aramirez
180;aramirez
182;aramirez
187;aramirez
188;aramirez
189;aramirez
934;acortes
984;acortes
1200;acortes
637;dchavez
662;dchavez
731;eriveros
742;erojas
202;gamaguana
204;gamaguana
205;gamaguana
206;gamaguana
207;gamaguana
208;gamaguana
209;gamaguana
210;gamaguana
211;gamaguana
213;gamaguana
216;gamaguana
217;gamaguana
220;gamaguana
232;gamaguana
241;gamaguana
242;gamaguana
246;gamaguana
247;gamaguana
250;gamaguana
252;gamaguana
253;gamaguana
255;gamaguana
256;gamaguana
257;gamaguana
258;gamaguana
267;gamaguana
269;gamaguana
274;gamaguana
276;gamaguana
278;gamaguana
279;gamaguana
280;gamaguana
281;gamaguana
283;gamaguana
288;gamaguana
290;gamaguana
292;gamaguana
301;gamaguana
306;gamaguana
308;gamaguana
310;gamaguana
311;gamaguana
316;gamaguana
317;gamaguana
321;gamaguana
1190;gamaguana
1193;gamaguana
1194;gamaguana
1195;gamaguana
1196;gamaguana
1197;gamaguana
337;gmarentes
338;gmarentes
342;gmarentes
351;gmarentes
356;gmarentes
357;gmarentes
365;gmarentes
367;gmarentes
398;gmarentes
403;gmarentes
415;gmarentes
434;gmarentes
437;gmarentes
442;gmarentes
466;gmarentes
467;gmarentes
472;gmarentes
1211;gmarentes
1085;gtrujillo
1086;gtrujillo
1087;gtrujillo
1088;gtrujillo
1089;gtrujillo
1090;gtrujillo
1091;gtrujillo
1092;gtrujillo
1093;gtrujillo
1096;gtrujillo
1097;gtrujillo
1098;gtrujillo
1106;gtrujillo
1109;gtrujillo
1184;gtrujillo
1185;gtrujillo
1186;gtrujillo
1187;gtrujillo
69;jvalencia
193;jvalencia
17;jlopez
36;jlopez
40;jlopez
54;jlopez
68;jlopez
79;jlopez
80;jlopez
81;jlopez
82;jlopez
84;jlopez
93;jlopez
196;jlopez
1404;jlopez
9;lgalindo
19;lgalindo
43;lgalindo
70;lgalindo
102;lgalindo
110;lgalindo
117;lgalindo
118;lgalindo
131;lgalindo
135;lgalindo
144;lgalindo
148;lgalindo
156;lgalindo
160;lgalindo
163;lgalindo
164;lgalindo
183;lgalindo
1277;lbolanos
107;mserna
329;mmartinez
335;mmartinez
339;mmartinez
340;mmartinez
341;mmartinez
346;mmartinez
360;mmartinez
362;mmartinez
363;mmartinez
370;mmartinez
374;mmartinez
375;mmartinez
376;mmartinez
377;mmartinez
379;mmartinez
380;mmartinez
381;mmartinez
382;mmartinez
383;mmartinez
386;mmartinez
389;mmartinez
391;mmartinez
393;mmartinez
394;mmartinez
395;mmartinez
397;mmartinez
399;mmartinez
400;mmartinez
404;mmartinez
408;mmartinez
409;mmartinez
411;mmartinez
412;mmartinez
413;mmartinez
417;mmartinez
422;mmartinez
423;mmartinez
424;mmartinez
425;mmartinez
430;mmartinez
435;mmartinez
436;mmartinez
443;mmartinez
449;mmartinez
454;mmartinez
456;mmartinez
475;mmartinez
481;mmartinez
482;mmartinez
483;mmartinez
485;mmartinez
486;mmartinez
1179;mmartinez
1180;mmartinez
1181;mmartinez
1182;mmartinez
1183;mmartinez
1157;wnosa
1158;wnosa
1159;wnosa
1164;wnosa
